Respondent ID,Question ID,Category,Answer,Gender,Age Group,Persona Group,Occupation
resp017,odds_fairness,general,4,Female,35-44,Casual Players,Manager
resp017,uniqueness,general,4,Female,35-44,Casual Players,Manager
resp017,bonus_features_appeal,general,4,Female,35-44,Casual Players,Manager
resp018,purchase_likelihood,general,3,Male,45-54,Casual Players,Service
resp018,value_for_money,general,3,Male,45-54,Casual Players,Service
resp018,overall_appeal,general,3,Male,45-54,Casual Players,Service
resp018,prize_attractiveness,general,4,Male,45-54,Casual Players,Service
resp018,odds_fairness,general,3,Male,45-54,Casual Players,Service
resp018,uniqueness,general,3,Male,45-54,Casual Players,Service
resp018,bonus_features_appeal,general,3,Male,45-54,Casual Players,Service
resp019,purchase_likelihood,general,5,Female,18-24,Thrill Seekers,Student
resp019,value_for_money,general,4,Female,18-24,Thrill Seekers,Student
resp019,overall_appeal,general,6,Female,18-24,Thrill Seekers,Student
resp019,prize_attractiveness,general,5,Female,18-24,Thrill Seekers,Student
resp019,odds_fairness,general,4,Female,18-24,Thrill Seekers,Student
resp019,uniqueness,general,4,Female,18-24,Thrill Seekers,Student
resp019,bonus_features_appeal,general,5,Female,18-24,Thrill Seekers,Student
resp020,purchase_likelihood,general,1,Female,55-64,Budget Conscious,Administrative
resp020,value_for_money,general,2,Female,55-64,Budget Conscious,Administrative
resp020,overall_appeal,general,2,Female,55-64,Budget Conscious,Administrative
resp020,prize_attractiveness,general,2,Female,55-64,Budget Conscious,Administrative
resp020,odds_fairness,general,2,Female,55-64,Budget Conscious,Administrative
resp020,uniqueness,general,2,Female,55-64,Budget Conscious,Administrative
resp020,bonus_features_appeal,general,2,Female,55-64,Budget Conscious,Administrative
